"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,7,1,0.05,0.5,0.6,0.6,1.09813906924703
100,7,1,0.05,0.5,0.6,0.6,1.09977143893288
150,7,1,0.05,0.5,0.6,0.6,1.09946013446051
50,9,1,0.05,0.5,0.6,0.6,1.10063231021394
100,9,1,0.05,0.5,0.6,0.6,1.09979307445312
150,9,1,0.05,0.5,0.6,0.6,1.10100839028509
50,3,5,0.05,0.5,0.6,0.6,1.09413945810083
100,3,5,0.05,0.5,0.6,0.6,1.09580762195848
150,3,5,0.05,0.5,0.6,0.6,1.0989208459774
50,5,5,0.05,0.5,0.6,0.6,1.09607065653353
100,5,5,0.05,0.5,0.6,0.6,1.09722850012066
150,5,5,0.05,0.5,0.6,0.6,1.10043147613515
50,7,5,0.05,0.5,0.6,0.6,1.09868063820653
100,7,5,0.05,0.5,0.6,0.6,1.09689268654822
150,7,5,0.05,0.5,0.6,0.6,1.10084877697822
50,9,5,0.05,0.5,0.6,0.6,1.0977087562863
100,9,5,0.05,0.5,0.6,0.6,1.0981949071079
150,9,5,0.05,0.5,0.6,0.6,1.09750418473916
50,3,1,0.1,0.5,0.6,0.6,1.09735030906346
100,3,1,0.1,0.5,0.6,0.6,1.09603374051076
150,3,1,0.1,0.5,0.6,0.6,1.09801887513252
50,5,1,0.1,0.5,0.6,0.6,1.09762369245731
100,5,1,0.1,0.5,0.6,0.6,1.10130514913449
150,5,1,0.1,0.5,0.6,0.6,1.09944356339765
50,7,1,0.1,0.5,0.6,0.6,1.10295827504459
100,7,1,0.1,0.5,0.6,0.6,1.10208791130343
150,7,1,0.1,0.5,0.6,0.6,1.09928879186324
50,9,1,0.1,0.5,0.6,0.6,1.09996968211455
100,9,1,0.1,0.5,0.6,0.6,1.10320405722823
150,9,1,0.1,0.5,0.6,0.6,1.09802796031652
50,3,5,0.1,0.5,0.6,0.6,1.09663004193527
100,3,5,0.1,0.5,0.6,0.6,1.10093601608732
150,3,5,0.1,0.5,0.6,0.6,1.09831687258428
50,5,5,0.1,0.5,0.6,0.6,1.10136281036293
100,5,5,0.1,0.5,0.6,0.6,1.09955843861673
150,5,5,0.1,0.5,0.6,0.6,1.10045534759365
50,7,5,0.1,0.5,0.6,0.6,1.10351367125752
100,7,5,0.1,0.5,0.6,0.6,1.09930381580521
150,7,5,0.1,0.5,0.6,0.6,1.10410467027766
50,9,5,0.1,0.5,0.6,0.6,1.10022693005589
100,9,5,0.1,0.5,0.6,0.6,1.10128808998741
150,9,5,0.1,0.5,0.6,0.6,1.09646610684067
50,3,1,0.01,2,0.6,0.6,1.09825970663866
100,3,1,0.01,2,0.6,0.6,1.0981115527548
150,3,1,0.01,2,0.6,0.6,1.09823439941052
50,5,1,0.01,2,0.6,0.6,1.09806689484436
100,5,1,0.01,2,0.6,0.6,1.09859405756059
150,5,1,0.01,2,0.6,0.6,1.09772326499763
50,7,1,0.01,2,0.6,0.6,1.09819540097392
100,7,1,0.01,2,0.6,0.6,1.09867652205455
150,7,1,0.01,2,0.6,0.6,1.09761770867109
50,9,1,0.01,2,0.6,0.6,1.09871064441083
100,9,1,0.01,2,0.6,0.6,1.09767782811349
150,9,1,0.01,2,0.6,0.6,1.09801508954246
50,3,5,0.01,2,0.6,0.6,1.09816741780413
100,3,5,0.01,2,0.6,0.6,1.09813904647105
150,3,5,0.01,2,0.6,0.6,1.09839121571479
50,5,5,0.01,2,0.6,0.6,1.09856951435894
100,5,5,0.01,2,0.6,0.6,1.09684281218415
150,5,5,0.01,2,0.6,0.6,1.09841533313007
50,7,5,0.01,2,0.6,0.6,1.09777713496602
100,7,5,0.01,2,0.6,0.6,1.09691557515566
150,7,5,0.01,2,0.6,0.6,1.09831478459082
50,9,5,0.01,2,0.6,0.6,1.09660004636062
100,9,5,0.01,2,0.6,0.6,1.09859469672819
150,9,5,0.01,2,0.6,0.6,1.09838315743166
50,3,1,0.05,2,0.6,0.6,1.09752317070126
100,3,1,0.05,2,0.6,0.6,1.09803445702635
150,3,1,0.05,2,0.6,0.6,1.09711125923522
50,5,1,0.05,2,0.6,0.6,1.09968233622489
100,5,1,0.05,2,0.6,0.6,1.0986914469626
150,5,1,0.05,2,0.6,0.6,1.09911199198665
50,7,1,0.05,2,0.6,0.6,1.09881331094829
100,7,1,0.05,2,0.6,0.6,1.09555993955574
150,7,1,0.05,2,0.6,0.6,1.09779550577121
50,9,1,0.05,2,0.6,0.6,1.10100503942191
100,9,1,0.05,2,0.6,0.6,1.09965080007897
150,9,1,0.05,2,0.6,0.6,1.10001004010094
50,3,5,0.05,2,0.6,0.6,1.09779417784129
100,3,5,0.05,2,0.6,0.6,1.09622503049146
150,3,5,0.05,2,0.6,0.6,1.09819846474567
50,5,5,0.05,2,0.6,0.6,1.09878516381008
100,5,5,0.05,2,0.6,0.6,1.0998379285552
150,5,5,0.05,2,0.6,0.6,1.09766186299487
50,7,5,0.05,2,0.6,0.6,1.09755318217083
100,7,5,0.05,2,0.6,0.6,1.09692498997095
150,7,5,0.05,2,0.6,0.6,1.09875149628829
50,9,5,0.05,2,0.6,0.6,1.09933331725073
100,9,5,0.05,2,0.6,0.6,1.09835576889456
150,9,5,0.05,2,0.6,0.6,1.10021472359348
50,3,1,0.1,2,0.6,0.6,1.10241641547459
100,3,1,0.1,2,0.6,0.6,1.10267437681915
150,3,1,0.1,2,0.6,0.6,1.1009695470193
50,5,1,0.1,2,0.6,0.6,1.09966199343799
100,5,1,0.1,2,0.6,0.6,1.09643148553873
150,5,1,0.1,2,0.6,0.6,1.09854106224914
50,7,1,0.1,2,0.6,0.6,1.09932677926113
100,7,1,0.1,2,0.6,0.6,1.09668520779554
150,7,1,0.1,2,0.6,0.6,1.10295025854236
50,9,1,0.1,2,0.6,0.6,1.10045159326115
100,9,1,0.1,2,0.6,0.6,1.09995687949102
150,9,1,0.1,2,0.6,0.6,1.09861082530964
50,3,5,0.1,2,0.6,0.6,1.09966273479045
100,3,5,0.1,2,0.6,0.6,1.10095858197588
150,3,5,0.1,2,0.6,0.6,1.09674462322989
50,5,5,0.1,2,0.6,0.6,1.09851883258296
100,5,5,0.1,2,0.6,0.6,1.09812677773132
150,5,5,0.1,2,0.6,0.6,1.10201891595327
50,7,5,0.1,2,0.6,0.6,1.10058591781673
100,7,5,0.1,2,0.6,0.6,1.09834872777732
150,7,5,0.1,2,0.6,0.6,1.10255938368006
50,9,5,0.1,2,0.6,0.6,1.09909314526135
100,9,5,0.1,2,0.6,0.6,1.09866461791277
150,9,5,0.1,2,0.6,0.6,1.10191354456807
50,3,1,0.01,0,0.9,0.6,1.09660193860487
100,3,1,0.01,0,0.9,0.6,1.09867375343553
150,3,1,0.01,0,0.9,0.6,1.09864994700712
50,5,1,0.01,0,0.9,0.6,1.09802875343773
100,5,1,0.01,0,0.9,0.6,1.09802413895041
150,5,1,0.01,0,0.9,0.6,1.09823551691526
50,7,1,0.01,0,0.9,0.6,1.09845752531905
100,7,1,0.01,0,0.9,0.6,1.09788094581731
150,7,1,0.01,0,0.9,0.6,1.09883376241895
50,9,1,0.01,0,0.9,0.6,1.09766949702075
100,9,1,0.01,0,0.9,0.6,1.09848448962366
150,9,1,0.01,0,0.9,0.6,1.09861086990265
50,3,5,0.01,0,0.9,0.6,1.09514215399077
100,3,5,0.01,0,0.9,0.6,1.09872298601043
150,3,5,0.01,0,0.9,0.6,1.09852165722623
50,5,5,0.01,0,0.9,0.6,1.0967437291574
100,5,5,0.01,0,0.9,0.6,1.09545485387071
150,5,5,0.01,0,0.9,0.6,1.09818949265297
50,7,5,0.01,0,0.9,0.6,1.09881644160919
100,7,5,0.01,0,0.9,0.6,1.09851218242748
150,7,5,0.01,0,0.9,0.6,1.09854204882397
50,9,5,0.01,0,0.9,0.6,1.09815402140393
100,9,5,0.01,0,0.9,0.6,1.09826796707681
150,9,5,0.01,0,0.9,0.6,1.09789442525657
50,3,1,0.05,0,0.9,0.6,1.09770498881994
100,3,1,0.05,0,0.9,0.6,1.09766729294586
150,3,1,0.05,0,0.9,0.6,1.09884682542783
50,5,1,0.05,0,0.9,0.6,1.09822621925477
100,5,1,0.05,0,0.9,0.6,1.09851335430719
150,5,1,0.05,0,0.9,0.6,1.09990464976691
50,7,1,0.05,0,0.9,0.6,1.09992015995799
100,7,1,0.05,0,0.9,0.6,1.09888020312152
150,7,1,0.05,0,0.9,0.6,1.09253257966465
50,9,1,0.05,0,0.9,0.6,1.09847097089731
100,9,1,0.05,0,0.9,0.6,1.09934070577742
150,9,1,0.05,0,0.9,0.6,1.09925015244751
50,3,5,0.05,0,0.9,0.6,1.09816636962289
100,3,5,0.05,0,0.9,0.6,1.09835041099073
150,3,5,0.05,0,0.9,0.6,1.099459669814
50,5,5,0.05,0,0.9,0.6,1.09838020842842
100,5,5,0.05,0,0.9,0.6,1.09379819300768
150,5,5,0.05,0,0.9,0.6,1.10053557281339
50,7,5,0.05,0,0.9,0.6,1.09652529769643
100,7,5,0.05,0,0.9,0.6,1.09731291407036
150,7,5,0.05,0,0.9,0.6,1.09512406994387
50,9,5,0.05,0,0.9,0.6,1.09823467229617
100,9,5,0.05,0,0.9,0.6,1.09560955630903
150,9,5,0.05,0,0.9,0.6,1.0983310793606
50,3,1,0.1,0,0.9,0.6,1.09740502316223
100,3,1,0.1,0,0.9,0.6,1.10326370281938
150,3,1,0.1,0,0.9,0.6,1.09937886716502
50,5,1,0.1,0,0.9,0.6,1.10370317956492
100,5,1,0.1,0,0.9,0.6,1.10364975048301
150,5,1,0.1,0,0.9,0.6,1.10051601857901
50,7,1,0.1,0,0.9,0.6,1.09795405428662
100,7,1,0.1,0,0.9,0.6,1.0971805660164
150,7,1,0.1,0,0.9,0.6,1.10051041199767
50,9,1,0.1,0,0.9,0.6,1.09951218689465
100,9,1,0.1,0,0.9,0.6,1.09646193506564
150,9,1,0.1,0,0.9,0.6,1.09658125378402
50,3,5,0.1,0,0.9,0.6,1.09966234091082
100,3,5,0.1,0,0.9,0.6,1.09942369045256
150,3,5,0.1,0,0.9,0.6,1.10041605728416
50,5,5,0.1,0,0.9,0.6,1.09840634528111
100,5,5,0.1,0,0.9,0.6,1.09634081863646
150,5,5,0.1,0,0.9,0.6,1.09752534520232
50,7,5,0.1,0,0.9,0.6,1.10293057840934
100,7,5,0.1,0,0.9,0.6,1.10303464415267
150,7,5,0.1,0,0.9,0.6,1.10069721525499
50,9,5,0.1,0,0.9,0.6,1.09672876987095
100,9,5,0.1,0,0.9,0.6,1.10096571572492
150,9,5,0.1,0,0.9,0.6,1.101010255161
50,3,1,0.01,0.5,0.9,0.6,1.09702534969799
100,3,1,0.01,0.5,0.9,0.6,1.09822854084489
150,3,1,0.01,0.5,0.9,0.6,1.09832054865999
50,5,1,0.01,0.5,0.9,0.6,1.09852021516908
100,5,1,0.01,0.5,0.9,0.6,1.09817108230091
150,5,1,0.01,0.5,0.9,0.6,1.09785059523163
