"Feature","Gain","Cover","Frequency","Importance"
"mrisdp_502",0.0086113456407362,0.000621717696279934,0.00675675675675676,0.0086113456407362
"mrisdp_600",0.00855003963221997,0.00991822583712459,0.00675675675675676,0.00855003963221997
"mrisdp_487",0.00838053878720221,0.00848096080984216,0.00675675675675676,0.00838053878720221
"mrisdp_482",0.00825035888446556,0.00027428721894703,0.0135135135135135,0.00825035888446556
"smri_vol_scs_pallidumlh",0.00818918793391912,0.00132755013970362,0.00675675675675676,0.00818918793391912
"mrisdp_596",0.00817376297349911,0.00650974999634284,0.00675675675675676,0.00817376297349911
"mrisdp_465",0.00801922881968325,0.0090990213432028,0.0135135135135135,0.00801922881968325
"mrisdp_528",0.00801890818587711,0.00985971123041589,0.00675675675675676,0.00801890818587711
"mrisdp_481",0.0079862617878435,0.000457145364911716,0.00675675675675676,0.0079862617878435
"mrisdp_500",0.00794154058872448,0.00854313257947015,0.00675675675675676,0.00794154058872448
"mrisdp_548",0.00789750550471155,0.00343407598121681,0.00675675675675676,0.00789750550471155
"smri_vol_scs_subcorticalgv",0.00787542610409296,0.00992188300004389,0.00675675675675676,0.00787542610409296
"mrisdp_570",0.00785305545250899,0.000888690589388376,0.00675675675675676,0.00785305545250899
"smri_vol_scs_tplh",0.00779373562093017,0.00993651165172106,0.00675675675675676,0.00779373562093017
"mrisdp_555",0.00772188478100159,0.0101413127752015,0.00675675675675676,0.00772188478100159
"mrisdp_497",0.00768808523534042,0.008864962916368,0.00675675675675676,0.00768808523534042
"mrisdp_564",0.00764004274423911,6.21717696279934e-05,0.00675675675675676,0.00764004274423911
"mrisdp_483",0.00763902723202351,0.010060855190977,0.00675675675675676,0.00763902723202351
"mrisdp_592",0.00759744587295792,0.010035255050542,0.00675675675675676,0.00759744587295792
"mrisdp_560",0.00755046425705444,0.00101669129156366,0.00675675675675676,0.00755046425705444
"mrisdp_586",0.00752672034428145,0.00108617738703024,0.00675675675675676,0.00752672034428145
"mrisdp_529",0.00743511650303834,0.00992188300004389,0.00675675675675676,0.00743511650303834
"mrisdp_491",0.00742283138267174,0.0100535408651385,0.00675675675675676,0.00742283138267174
"mrisdp_493",0.00737300220865711,0.0100754838426542,0.00675675675675676,0.00737300220865711
"mrisdp_561",0.0073406563403807,0.00492254128936936,0.00675675675675676,0.0073406563403807
"mrisdp_603",0.00723336670156982,0.00443613862110329,0.00675675675675676,0.00723336670156982
"mrisdp_550",0.00722955414910963,0.00555157331148788,0.00675675675675676,0.00722955414910963
"mrisdp_542",0.00713523471479455,0.000471774016588891,0.00675675675675676,0.00713523471479455
"mrisdp_526",0.00706135852080755,0.00418745154259132,0.00675675675675676,0.00706135852080755
"mrisdp_486",0.00704982343611288,0.00021577261223833,0.00675675675675676,0.00704982343611288
"mrisdp_598",0.0069821217625921,0.00981948243830366,0.00675675675675676,0.0069821217625921
"smri_vol_scs_aar",0.00685017167257202,0.00516757120496204,0.00675675675675676,0.00685017167257202
"smri_vol_scs_pallidumrh",0.0068018915413025,0.00996211179215612,0.00675675675675676,0.0068018915413025
"mrisdp_466",0.00677476344695823,0.00105326292075659,0.00675675675675676,0.00677476344695823
"mrisdp_536",0.00677451395055602,0.0101266841235243,0.00675675675675676,0.00677451395055602
"mrisdp_470",0.00672965099211757,0.0098523969045773,0.00675675675675676,0.00672965099211757
"smri_vol_scs_putamenrh",0.00667536696705358,0.00981582527538437,0.00675675675675676,0.00667536696705358
"smri_vol_scs_ccct",0.00660968755466062,0.0100864553314121,0.00675675675675676,0.00660968755466062
"smri_vol_scs_crbcortexrh",0.00653068173526375,0.00153235126318407,0.00675675675675676,0.00653068173526375
"mrisdp_475",0.00641003269818916,0.00635980631665179,0.00675675675675676,0.00641003269818916
"smri_vol_scs_crbwmatterlh",0.00638587794113402,0.00411430828420544,0.00675675675675676,0.00638587794113402
"mrisdp_530",0.00628636547633165,0.0099694261179947,0.00675675675675676,0.00628636547633165
"mrisdp_517",0.00625732852831511,0.00888690589388376,0.00675675675675676,0.00625732852831511
"mrisdp_571",0.00622628169089318,0.00923799353413596,0.00675675675675676,0.00622628169089318
"mrisdp_461",0.00595709672342442,0.00998039760675259,0.00675675675675676,0.00595709672342442
"mrisdp_525",0.00588098898000527,0.0100901124943314,0.00675675675675676,0.00588098898000527
"mrisdp_566",0.00542203210032773,0.000903319241065551,0.00675675675675676,0.00542203210032773
