"Feature","Gain","Cover","Frequency","Importance"
"mrisdp_592",0.0104410883574786,0.00150363561531074,0.00704225352112676,0.0104410883574786
"mrisdp_467",0.010268122619825,0.00960214021127727,0.0105633802816901,0.010268122619825
"mrisdp_563",0.00974058269396374,0.0144724927973659,0.0105633802816901,0.00974058269396374
"mrisdp_566",0.00946399459867333,0.010622856358897,0.0105633802816901,0.00946399459867333
"mrisdp_506",0.00940979319490471,9.19193304980107e-05,0.00704225352112676,0.00940979319490471
"mrisdp_535",0.00875151399430115,0.0149389491013856,0.0105633802816901,0.00875151399430115
"mrisdp_460",0.00800055162966386,4.39017697900947e-05,0.00704225352112676,0.00800055162966386
"mrisdp_478",0.00789141913717254,0.0068294690629716,0.00704225352112676,0.00789141913717254
"mrisdp_499",0.00776589710985182,0.0097489367540129,0.00704225352112676,0.00776589710985182
"mrisdp_567",0.00759302917025107,0.00579914940321032,0.00704225352112676,0.00759302917025107
"mrisdp_578",0.00709396266609396,0.00256276581149678,0.00704225352112676,0.00709396266609396
"mrisdp_559",0.00678704450627183,0.00541226505693511,0.00704225352112676,0.00678704450627183
"smri_vol_scs_4thventricle",0.00667623779219146,0.00103717931129099,0.00704225352112676,0.00667623779219146
"mrisdp_515",0.00666045278107748,0.0099423789271505,0.00704225352112676,0.00666045278107748
"smri_vol_scs_crbcortexrh",0.00643392766106968,0.000355329949238579,0.00704225352112676,0.00643392766106968
"mrisdp_554",0.00635671888531879,0.00366031005624914,0.00704225352112676,0.00635671888531879
"mrisdp_497",0.00620061140373243,0.00550830017835094,0.00704225352112676,0.00620061140373243
"mrisdp_501",0.00615028239747699,0.00389765399917684,0.00704225352112676,0.00615028239747699
"mrisdp_520",0.00607437996048414,0.00950747702016738,0.00704225352112676,0.00607437996048414
"mrisdp_557",0.00581885898461411,0.00742488681574976,0.00704225352112676,0.00581885898461411
"mrisdp_575",0.00579140256131469,0.000170119357936617,0.00352112676056338,0.00579140256131469
"mrisdp_538",0.00542248550322867,0.00997393332418713,0.00704225352112676,0.00542248550322867
"mrisdp_463",0.00524348364948279,0.00117437234188503,0.00704225352112676,0.00524348364948279
"mrisdp_524",0.00465144970819526,0.00152009877898203,0.00352112676056338,0.00465144970819526
"mrisdp_502",0.00461621605942708,0.000378652764439566,0.00352112676056338,0.00461621605942708
"smri_vol_scs_tprh",0.00461112650687246,0.00381945397173824,0.00352112676056338,0.00461112650687246
"mrisdp_461",0.00433308410893055,0.000674989710522705,0.00704225352112676,0.00433308410893055
"mrisdp_500",0.00432966624433667,0.0013801618877761,0.00352112676056338,0.00432966624433667
"mrisdp_531",0.00429395019273774,4.11579091782137e-05,0.00352112676056338,0.00429395019273774
"mrisdp_587",0.00423619765552599,0.000146796542735629,0.00352112676056338,0.00423619765552599
"mrisdp_579",0.00406696319228853,0.00248730964467005,0.00352112676056338,0.00406696319228853
"mrisdp_553",0.00399923094651576,2.33228152009878e-05,0.00352112676056338,0.00399923094651576
"mrisdp_476",0.00376960542554167,0.00278227466044725,0.00352112676056338,0.00376960542554167
"smri_vol_scs_latventricles",0.00375286853027059,0.000102894772945534,0.00352112676056338,0.00375286853027059
"mrisdp_561",0.00370380228436621,3.42982576485115e-05,0.00352112676056338,0.00370380228436621
"mrisdp_518",0.00369795492358325,0.0013294004664563,0.00352112676056338,0.00369795492358325
"mrisdp_581",0.0035676364845037,0.00103855124159693,0.00352112676056338,0.0035676364845037
"mrisdp_596",0.00344489106045091,0.00315132391274523,0.00352112676056338,0.00344489106045091
"mrisdp_556",0.00342639532040513,0.00279462203320071,0.00352112676056338,0.00342639532040513
"mrisdp_545",0.00337050195964926,0.004723556043353,0.00352112676056338,0.00337050195964926
"mrisdp_475",0.00336889285230784,0.000203045685279188,0.00352112676056338,0.00336889285230784
"mrisdp_525",0.00336322259214395,0.0025298394841542,0.00352112676056338,0.00336322259214395
"mrisdp_514",0.00333406737106084,0.00284401152421457,0.00352112676056338,0.00333406737106084
"mrisdp_487",0.00332187605834564,0.00496501577719852,0.00352112676056338,0.00332187605834564
"mrisdp_485",0.00331632741234075,0.00322266428865414,0.00352112676056338,0.00331632741234075
"mrisdp_477",0.00326175888582961,0.0016888462066127,0.00352112676056338,0.00326175888582961
"mrisdp_490",0.00324649605551088,0.00487584030731239,0.00352112676056338,0.00324649605551088
"mrisdp_541",0.00321181727134319,0.00223350253807107,0.00352112676056338,0.00321181727134319
"mrisdp_534",0.00305448959436141,0.00501714912882426,0.00352112676056338,0.00305448959436141
"mrisdp_455",0.003035353606441,0.000233228152009878,0.00704225352112676,0.003035353606441
"mrisdp_536",0.00303470018369915,2.46947455069282e-05,0.00352112676056338,0.00303470018369915
"smri_vol_scs_ccct",0.00301159425357552,0.00503361229249554,0.00352112676056338,0.00301159425357552
"mrisdp_481",0.00295024041708006,0.00431746467279462,0.00352112676056338,0.00295024041708006
"mrisdp_464",0.00292194536280912,0.0015530251063246,0.00352112676056338,0.00292194536280912
