"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","model"
0.05,7,0.1,0.6,2,0.6,50,0.960555948259932,0.0017387504709231,0.726934655298196,0.0277594523307611,0.00129506647888829,0.0103256681949451,"BPM"
0.05,7,0.1,0.6,2,0.8,50,0.960438856224706,0.0013149922178026,0.724917720473575,0.0263887711280816,0.00143060125969671,0.010120595741009,"BPM"
0.05,7,0.1,0.8,1,0.6,50,0.958693745244968,0.00437903218470589,0.724726662280913,0.0262477576958462,0.00650845127135359,0.0135031039593863,"BPM"
0.05,7,0.1,0.8,1,0.8,50,0.956775797142964,0.00319884825198832,0.722957978898322,0.025216345489919,0.0029779987618345,0.0134928009736311,"BPM"
0.05,7,0.1,0.8,2,0.6,50,0.959913344532896,0.00237739690699949,0.724134309743479,0.0292797789729176,0.00221223001494209,0.0153853551542618,"BPM"
0.05,7,0.1,0.8,2,0.8,50,0.960799896497127,0.00130041715292319,0.723920016097141,0.025309591356711,0.00178003583610513,0.0111078734114005,"BPM"
0.05,7,1,0.6,1,0.6,50,0.96314002267979,0.000422365016412521,0.725303223056248,0.0216684301236495,0.000453288231699937,0.00849268818501673,"BPM"
0.05,7,1,0.6,1,0.8,50,0.957013059025993,0.00287317024871538,0.724249221265484,0.0266830781927009,0.00318028511170038,0.0122712341399597,"BPM"
0.05,7,1,0.6,2,0.6,50,0.962455581468809,0.000532569068244314,0.727117741867937,0.0231205128704342,0.000470782716800732,0.00915736120843671,"BPM"
0.05,7,1,0.6,2,0.8,50,0.956643351454424,0.0024194976885943,0.722383037625663,0.0271565004318651,0.00195775033703363,0.013859371145784,"BPM"
0.05,7,1,0.8,1,0.6,50,0.958630130425894,0.00231045351007181,0.722743756209956,0.0263811470334377,0.00231038690585219,0.0126570748809309,"BPM"
0.05,7,1,0.8,1,0.8,50,0.962218172118306,0.000855720715235058,0.728758367011269,0.0255821750996336,0.00108584693589074,0.0116205323408128,"BPM"
0.05,7,1,0.8,2,0.6,50,0.962227010511722,0.000942739887400073,0.728154828958867,0.0237075369160208,0.000982779878866368,0.0101517141759406,"BPM"
0.05,7,1,0.8,2,0.8,50,0.958195183442812,0.00277415640822094,0.725643437049478,0.0244090988788961,0.00367940793916978,0.00919376929529592,"BPM"
0.1,7,0.1,0.6,1,0.6,50,0.980691163688922,0.00238473541682896,0.71910887972676,0.0276006038640813,0.00287229071201941,0.0148906121072151,"BPM"
0.1,7,0.1,0.6,1,0.8,50,0.980201166115638,0.000675278505197119,0.719699376124199,0.0251851255457456,0.0010153023710423,0.0130204287686117,"BPM"
0.1,7,0.1,0.6,2,0.6,50,0.980222783255289,0.0026135357211596,0.723845216807028,0.0275395144143673,0.00313748706091517,0.0140211689531936,"BPM"
0.1,7,0.1,0.6,2,0.8,50,0.972210755193303,0.00233169799902972,0.718218791489956,0.0283517641450134,0.00158635722776647,0.0132468598818131,"BPM"
0.1,7,0.1,0.8,1,0.6,50,0.991798335312579,0.00019528452136137,0.727310600591703,0.0262480441123307,0.000161217806310152,0.0114640367308863,"BPM"
0.1,7,0.1,0.8,1,0.8,50,0.976769908591175,0.00141359531816934,0.715865711755107,0.0260669666863254,0.0023776182449971,0.00843769647487192,"BPM"
0.1,7,0.1,0.8,2,0.6,50,0.9827197060451,0.00108303009231682,0.71900315988493,0.0274369232011236,0.000983978215786175,0.0160041605872888,"BPM"
0.1,7,0.1,0.8,2,0.8,50,0.97210356702647,0.00238618718522644,0.711630238404777,0.0290753072278497,0.00249694780418352,0.0161734257551895,"BPM"
0.1,7,1,0.6,1,0.6,50,0.978700206915627,0.0020439519596617,0.716187044681525,0.0255707137941618,0.00191083624456005,0.0134984276402873,"BPM"
0.1,7,1,0.6,1,0.8,50,0.97478652563654,0.00173967570294075,0.717783761856988,0.0285463516257648,0.0021904712587219,0.0114726203167017,"BPM"
0.1,7,1,0.6,2,0.6,50,0.97945549483031,0.00200202064283364,0.718987411817221,0.0249484864555399,0.00313486994297186,0.0112735292584236,"BPM"
0.1,7,1,0.6,2,0.8,50,0.979766782168174,0.00137005374090862,0.719268457139952,0.0274943981464728,0.000997685244242185,0.0151922618146358,"BPM"
0.1,7,1,0.8,1,0.6,50,0.982207902010583,0.00154480845290775,0.720614487867195,0.0296680428940935,0.0010979997206539,0.0194904420800835,"BPM"
0.1,7,1,0.8,1,0.8,50,0.97672167372104,0.00125153161999773,0.717673146809949,0.0274545540136312,0.00249388895208421,0.0138663865181507,"BPM"
0.1,7,1,0.8,2,0.6,50,0.985018131631167,0.00087186237183555,0.720360531971218,0.0250067038634852,0.000941559337262645,0.0115379485072765,"BPM"
0.1,7,1,0.8,2,0.8,50,0.977778624290346,0.00234769703208713,0.721615982377333,0.0283400545396545,0.00472467638372119,0.0129518362971827,"BPM"
0.05,2,0.1,0.6,1,0.6,100,0.953370440897488,0.00177220660750855,0.706834354040157,0.0279326824201388,0.00242200763158321,0.0126546968372515,"BPM"
0.05,2,0.1,0.6,1,0.8,100,0.953350825068397,0.00188421033462838,0.708378163654982,0.0259770348374416,0.00267839094786132,0.0107212209435175,"BPM"
