"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.05,0.5,0.6,0.6,1.09760236343912
100,3,1,0.05,0.5,0.6,0.6,1.1015914426022
150,3,1,0.05,0.5,0.6,0.6,1.09544239957342
50,5,1,0.05,0.5,0.6,0.6,1.09513082998161
100,5,1,0.05,0.5,0.6,0.6,1.0954278740796
150,5,1,0.05,0.5,0.6,0.6,1.09332977198856
50,7,1,0.05,0.5,0.6,0.6,1.09572424577005
100,7,1,0.05,0.5,0.6,0.6,1.08996074568471
150,7,1,0.05,0.5,0.6,0.6,1.09795734193905
50,9,1,0.05,0.5,0.6,0.6,1.09819386753849
100,9,1,0.05,0.5,0.6,0.6,1.09975996248993
150,9,1,0.05,0.5,0.6,0.6,1.09528077855036
50,3,5,0.05,0.5,0.6,0.6,1.0949549204296
100,3,5,0.05,0.5,0.6,0.6,1.09992382299957
150,3,5,0.05,0.5,0.6,0.6,1.09735656835922
50,5,5,0.05,0.5,0.6,0.6,1.09645840952936
100,5,5,0.05,0.5,0.6,0.6,1.09959243377146
150,5,5,0.05,0.5,0.6,0.6,1.10251284923747
50,7,5,0.05,0.5,0.6,0.6,1.09497815561259
100,7,5,0.05,0.5,0.6,0.6,1.09758319573645
150,7,5,0.05,0.5,0.6,0.6,1.09648809933085
50,9,5,0.05,0.5,0.6,0.6,1.09754927748943
100,9,5,0.05,0.5,0.6,0.6,1.09833358512919
150,9,5,0.05,0.5,0.6,0.6,1.09957079738844
50,3,1,0.1,0.5,0.6,0.6,1.0877821992153
100,3,1,0.1,0.5,0.6,0.6,1.09530231033448
150,3,1,0.1,0.5,0.6,0.6,1.10058334142394
50,5,1,0.1,0.5,0.6,0.6,1.10216395657949
100,5,1,0.1,0.5,0.6,0.6,1.09953578024361
150,5,1,0.1,0.5,0.6,0.6,1.0966095374721
50,7,1,0.1,0.5,0.6,0.6,1.10232548951009
100,7,1,0.1,0.5,0.6,0.6,1.09830825295044
150,7,1,0.1,0.5,0.6,0.6,1.10438936425579
50,9,1,0.1,0.5,0.6,0.6,1.10538743900911
100,9,1,0.1,0.5,0.6,0.6,1.10266851999549
150,9,1,0.1,0.5,0.6,0.6,1.09619619477299
50,3,5,0.1,0.5,0.6,0.6,1.10079436905686
100,3,5,0.1,0.5,0.6,0.6,1.09020452595338
150,3,5,0.1,0.5,0.6,0.6,1.10255480688527
50,5,5,0.1,0.5,0.6,0.6,1.09866905473435
100,5,5,0.1,0.5,0.6,0.6,1.10148565654419
150,5,5,0.1,0.5,0.6,0.6,1.10131328027333
50,7,5,0.1,0.5,0.6,0.6,1.10287519535494
100,7,5,0.1,0.5,0.6,0.6,1.09703970042199
150,7,5,0.1,0.5,0.6,0.6,1.09598303192306
50,9,5,0.1,0.5,0.6,0.6,1.10329043767954
100,9,5,0.1,0.5,0.6,0.6,1.10153953757531
150,9,5,0.1,0.5,0.6,0.6,1.10506536251911
50,3,1,0.01,2,0.6,0.6,1.09734648405995
100,3,1,0.01,2,0.6,0.6,1.09761392314614
150,3,1,0.01,2,0.6,0.6,1.09657018925014
50,5,1,0.01,2,0.6,0.6,1.09885600261442
100,5,1,0.01,2,0.6,0.6,1.09760886105479
150,5,1,0.01,2,0.6,0.6,1.09944307593058
50,7,1,0.01,2,0.6,0.6,1.09789648711865
100,7,1,0.01,2,0.6,0.6,1.09912057248488
150,7,1,0.01,2,0.6,0.6,1.09620225360844
50,9,1,0.01,2,0.6,0.6,1.09824018483667
100,9,1,0.01,2,0.6,0.6,1.0978734652315
150,9,1,0.01,2,0.6,0.6,1.09785229323414
50,3,5,0.01,2,0.6,0.6,1.09654654884303
100,3,5,0.01,2,0.6,0.6,1.09676445814237
150,3,5,0.01,2,0.6,0.6,1.0946862919618
50,5,5,0.01,2,0.6,0.6,1.09763744631927
100,5,5,0.01,2,0.6,0.6,1.09811034694961
150,5,5,0.01,2,0.6,0.6,1.09778277959957
50,7,5,0.01,2,0.6,0.6,1.09933666512328
100,7,5,0.01,2,0.6,0.6,1.09720707477402
150,7,5,0.01,2,0.6,0.6,1.09718885599738
50,9,5,0.01,2,0.6,0.6,1.09764371145427
100,9,5,0.01,2,0.6,0.6,1.09759328552554
150,9,5,0.01,2,0.6,0.6,1.09582821206467
50,3,1,0.05,2,0.6,0.6,1.09736556968182
100,3,1,0.05,2,0.6,0.6,1.10020979309335
150,3,1,0.05,2,0.6,0.6,1.10060680853903
50,5,1,0.05,2,0.6,0.6,1.09864421186149
100,5,1,0.05,2,0.6,0.6,1.0900749051804
150,5,1,0.05,2,0.6,0.6,1.09497776779211
50,7,1,0.05,2,0.6,0.6,1.09789814450324
100,7,1,0.05,2,0.6,0.6,1.09421189816551
150,7,1,0.05,2,0.6,0.6,1.10107850019308
50,9,1,0.05,2,0.6,0.6,1.10007677896543
100,9,1,0.05,2,0.6,0.6,1.09939891700112
150,9,1,0.05,2,0.6,0.6,1.09978436452654
50,3,5,0.05,2,0.6,0.6,1.08968641798355
100,3,5,0.05,2,0.6,0.6,1.09940702248579
150,3,5,0.05,2,0.6,0.6,1.09955481813526
50,5,5,0.05,2,0.6,0.6,1.0998673738738
100,5,5,0.05,2,0.6,0.6,1.09329629656846
150,5,5,0.05,2,0.6,0.6,1.10142390549183
50,7,5,0.05,2,0.6,0.6,1.10033797632383
100,7,5,0.05,2,0.6,0.6,1.09852226157077
150,7,5,0.05,2,0.6,0.6,1.09727847140763
50,9,5,0.05,2,0.6,0.6,1.09929457397357
100,9,5,0.05,2,0.6,0.6,1.09511406378173
150,9,5,0.05,2,0.6,0.6,1.09614214118712
50,3,1,0.1,2,0.6,0.6,1.09974328671597
100,3,1,0.1,2,0.6,0.6,1.09324350176294
150,3,1,0.1,2,0.6,0.6,1.09976184420711
50,5,1,0.1,2,0.6,0.6,1.09730295484041
100,5,1,0.1,2,0.6,0.6,1.10023387127957
150,5,1,0.1,2,0.6,0.6,1.10346080559161
50,7,1,0.1,2,0.6,0.6,1.09948364511553
100,7,1,0.1,2,0.6,0.6,1.09632006816443
150,7,1,0.1,2,0.6,0.6,1.09927915725255
50,9,1,0.1,2,0.6,0.6,1.10111806868941
100,9,1,0.1,2,0.6,0.6,1.10303624244996
150,9,1,0.1,2,0.6,0.6,1.09933164661669
50,3,5,0.1,2,0.6,0.6,1.09530159296523
100,3,5,0.1,2,0.6,0.6,1.10043974034288
150,3,5,0.1,2,0.6,0.6,1.09880593332718
50,5,5,0.1,2,0.6,0.6,1.09749576019936
100,5,5,0.1,2,0.6,0.6,1.09448488414112
150,5,5,0.1,2,0.6,0.6,1.10684172143494
50,7,5,0.1,2,0.6,0.6,1.10547938682346
100,7,5,0.1,2,0.6,0.6,1.09713013828839
150,7,5,0.1,2,0.6,0.6,1.09332690954437
50,9,5,0.1,2,0.6,0.6,1.10315174724042
100,9,5,0.1,2,0.6,0.6,1.09570266759035
150,9,5,0.1,2,0.6,0.6,1.09737499677651
50,3,1,0.01,0,0.9,0.6,1.09229155029534
