"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.05,0,0.9,0.6,1.10219047451312
100,3,1,0.05,0,0.9,0.6,1.10377715739726
150,3,1,0.05,0,0.9,0.6,1.09951690742438
50,5,1,0.05,0,0.9,0.6,1.09486082099415
100,5,1,0.05,0,0.9,0.6,1.09973689098747
150,5,1,0.05,0,0.9,0.6,1.09858535777208
50,7,1,0.05,0,0.9,0.6,1.09674314860164
100,7,1,0.05,0,0.9,0.6,1.10253254147628
150,7,1,0.05,0,0.9,0.6,1.09978808198881
50,9,1,0.05,0,0.9,0.6,1.09898563900103
100,9,1,0.05,0,0.9,0.6,1.09631662850243
150,9,1,0.05,0,0.9,0.6,1.1007423927633
50,3,5,0.05,0,0.9,0.6,1.10209091944179
100,3,5,0.05,0,0.9,0.6,1.10001320263726
150,3,5,0.05,0,0.9,0.6,1.09645870509425
50,5,5,0.05,0,0.9,0.6,1.09524890688948
100,5,5,0.05,0,0.9,0.6,1.09811147616671
150,5,5,0.05,0,0.9,0.6,1.09574134664137
50,7,5,0.05,0,0.9,0.6,1.10000868650966
100,7,5,0.05,0,0.9,0.6,1.09485514208301
150,7,5,0.05,0,0.9,0.6,1.09971470395058
50,9,5,0.05,0,0.9,0.6,1.09732916918694
100,9,5,0.05,0,0.9,0.6,1.09928709635912
150,9,5,0.05,0,0.9,0.6,1.10099576932215
50,3,1,0.1,0,0.9,0.6,1.10962007820424
100,3,1,0.1,0,0.9,0.6,1.10590505077964
150,3,1,0.1,0,0.9,0.6,1.10456728514684
50,5,1,0.1,0,0.9,0.6,1.10108172552544
100,5,1,0.1,0,0.9,0.6,1.10127135683176
150,5,1,0.1,0,0.9,0.6,1.1017796292551
50,7,1,0.1,0,0.9,0.6,1.09662718989943
100,7,1,0.1,0,0.9,0.6,1.10710341858119
150,7,1,0.1,0,0.9,0.6,1.10076976123959
50,9,1,0.1,0,0.9,0.6,1.10543774986925
100,9,1,0.1,0,0.9,0.6,1.10860638707952
150,9,1,0.1,0,0.9,0.6,1.09689049266902
50,3,5,0.1,0,0.9,0.6,1.10104034076143
100,3,5,0.1,0,0.9,0.6,1.09935600579888
150,3,5,0.1,0,0.9,0.6,1.10586630039628
