"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
50,3,1,0.05,0.5,0.6,0.6,1.09907777363263
100,3,1,0.05,0.5,0.6,0.6,1.09818899370606
150,3,1,0.05,0.5,0.6,0.6,1.0966495256254
50,5,1,0.05,0.5,0.6,0.6,1.09800332387193
100,5,1,0.05,0.5,0.6,0.6,1.09809859046393
150,5,1,0.05,0.5,0.6,0.6,1.09621354005696
50,7,1,0.05,0.5,0.6,0.6,1.09839594424876
100,7,1,0.05,0.5,0.6,0.6,1.09719375390021
150,7,1,0.05,0.5,0.6,0.6,1.09971570567403
50,9,1,0.05,0.5,0.6,0.6,1.09943330064324
100,9,1,0.05,0.5,0.6,0.6,1.09920823807171
150,9,1,0.05,0.5,0.6,0.6,1.09874666497756
50,3,5,0.05,0.5,0.6,0.6,1.0920639457219
100,3,5,0.05,0.5,0.6,0.6,1.09664154016074
150,3,5,0.05,0.5,0.6,0.6,1.09779235643842
50,5,5,0.05,0.5,0.6,0.6,1.09920365484687
100,5,5,0.05,0.5,0.6,0.6,1.10080187409124
150,5,5,0.05,0.5,0.6,0.6,1.09886524819311
50,7,5,0.05,0.5,0.6,0.6,1.09809391940862
100,7,5,0.05,0.5,0.6,0.6,1.09695217646833
150,7,5,0.05,0.5,0.6,0.6,1.09941872889467
50,9,5,0.05,0.5,0.6,0.6,1.09734655888177
100,9,5,0.05,0.5,0.6,0.6,1.09976690727559
150,9,5,0.05,0.5,0.6,0.6,1.10008957857709
50,3,1,0.1,0.5,0.6,0.6,1.10578835254483
100,3,1,0.1,0.5,0.6,0.6,1.10305183429083
150,3,1,0.1,0.5,0.6,0.6,1.09608975252384
50,5,1,0.1,0.5,0.6,0.6,1.09657482571568
100,5,1,0.1,0.5,0.6,0.6,1.09850958446411
150,5,1,0.1,0.5,0.6,0.6,1.10296813290433
50,7,1,0.1,0.5,0.6,0.6,1.10295602313302
100,7,1,0.1,0.5,0.6,0.6,1.09807463423063
150,7,1,0.1,0.5,0.6,0.6,1.10157203693911
50,9,1,0.1,0.5,0.6,0.6,1.09951680251419
100,9,1,0.1,0.5,0.6,0.6,1.10210255873836
150,9,1,0.1,0.5,0.6,0.6,1.09886912562359
50,3,5,0.1,0.5,0.6,0.6,1.09823512113808
100,3,5,0.1,0.5,0.6,0.6,1.09841340466801
150,3,5,0.1,0.5,0.6,0.6,1.09560438815776
50,5,5,0.1,0.5,0.6,0.6,1.09951817188263
100,5,5,0.1,0.5,0.6,0.6,1.10364588229223
150,5,5,0.1,0.5,0.6,0.6,1.10531525944381
50,7,5,0.1,0.5,0.6,0.6,1.10271889303518
100,7,5,0.1,0.5,0.6,0.6,1.10272414527928
150,7,5,0.1,0.5,0.6,0.6,1.10524634736135
50,9,5,0.1,0.5,0.6,0.6,1.10132122709691
100,9,5,0.1,0.5,0.6,0.6,1.09813830263881
150,9,5,0.1,0.5,0.6,0.6,1.10741258487076
50,3,1,0.01,2,0.6,0.6,1.09861987954111
100,3,1,0.01,2,0.6,0.6,1.09792682068137
150,3,1,0.01,2,0.6,0.6,1.09848322788327
50,5,1,0.01,2,0.6,0.6,1.09823666640675
100,5,1,0.01,2,0.6,0.6,1.09748816725957
150,5,1,0.01,2,0.6,0.6,1.09849507590133
50,7,1,0.01,2,0.6,0.6,1.09873033522897
100,7,1,0.01,2,0.6,0.6,1.09851346264099
150,7,1,0.01,2,0.6,0.6,1.09855150937142
50,9,1,0.01,2,0.6,0.6,1.09876708918572
100,9,1,0.01,2,0.6,0.6,1.09871438970151
150,9,1,0.01,2,0.6,0.6,1.09849452534347
50,3,5,0.01,2,0.6,0.6,1.09687137042505
100,3,5,0.01,2,0.6,0.6,1.09641217200521
150,3,5,0.01,2,0.6,0.6,1.09845822641558
50,5,5,0.01,2,0.6,0.6,1.09804523263408
100,5,5,0.01,2,0.6,0.6,1.09900488855285
150,5,5,0.01,2,0.6,0.6,1.09698047537476
50,7,5,0.01,2,0.6,0.6,1.09882138369932
100,7,5,0.01,2,0.6,0.6,1.09781832748211
150,7,5,0.01,2,0.6,0.6,1.09812870474502
50,9,5,0.01,2,0.6,0.6,1.09831279514892
100,9,5,0.01,2,0.6,0.6,1.09872912790991
150,9,5,0.01,2,0.6,0.6,1.09853576223278
50,3,1,0.05,2,0.6,0.6,1.09811851156335
100,3,1,0.05,2,0.6,0.6,1.09871744954133
150,3,1,0.05,2,0.6,0.6,1.10021119206098
50,5,1,0.05,2,0.6,0.6,1.09865791227707
100,5,1,0.05,2,0.6,0.6,1.09773487048154
150,5,1,0.05,2,0.6,0.6,1.09737447753999
50,7,1,0.05,2,0.6,0.6,1.09702190943056
100,7,1,0.05,2,0.6,0.6,1.09755696414175
150,7,1,0.05,2,0.6,0.6,1.10043089589007
50,9,1,0.05,2,0.6,0.6,1.09960056863871
100,9,1,0.05,2,0.6,0.6,1.09819285261697
150,9,1,0.05,2,0.6,0.6,1.09900352415075
50,3,5,0.05,2,0.6,0.6,1.09689677762668
100,3,5,0.05,2,0.6,0.6,1.09982909774289
150,3,5,0.05,2,0.6,0.6,1.09847955458135
50,5,5,0.05,2,0.6,0.6,1.09886693396601
100,5,5,0.05,2,0.6,0.6,1.09899200679814
150,5,5,0.05,2,0.6,0.6,1.10032989847505
50,7,5,0.05,2,0.6,0.6,1.09905264809317
100,7,5,0.05,2,0.6,0.6,1.10168925058862
150,7,5,0.05,2,0.6,0.6,1.09887897305936
50,9,5,0.05,2,0.6,0.6,1.10015189212931
100,9,5,0.05,2,0.6,0.6,1.09820249154872
150,9,5,0.05,2,0.6,0.6,1.10093636992684
50,3,1,0.1,2,0.6,0.6,1.10029791677648
100,3,1,0.1,2,0.6,0.6,1.09993429164778
150,3,1,0.1,2,0.6,0.6,1.10117094844162
50,5,1,0.1,2,0.6,0.6,1.10635747085586
100,5,1,0.1,2,0.6,0.6,1.09712242251129
150,5,1,0.1,2,0.6,0.6,1.09814517146749
50,7,1,0.1,2,0.6,0.6,1.10020225438799
100,7,1,0.1,2,0.6,0.6,1.10403461907192
150,7,1,0.1,2,0.6,0.6,1.10352901158356
50,9,1,0.1,2,0.6,0.6,1.10272817945292
