"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
100,5,5,0.1,0,0.6,0.6,1.1003340811029
150,5,5,0.1,0,0.6,0.6,1.09885739854006
50,7,5,0.1,0,0.6,0.6,1.10230149806034
100,7,5,0.1,0,0.6,0.6,1.09820439173697
150,7,5,0.1,0,0.6,0.6,1.1003529624647
50,9,5,0.1,0,0.6,0.6,1.10102102756535
100,9,5,0.1,0,0.6,0.6,1.10091036878939
150,9,5,0.1,0,0.6,0.6,1.10111603777857
50,3,1,0.01,0.5,0.6,0.6,1.0983848391134
100,3,1,0.01,0.5,0.6,0.6,1.09735845558775
150,3,1,0.01,0.5,0.6,0.6,1.09859385105941
50,5,1,0.01,0.5,0.6,0.6,1.09799645536668
100,5,1,0.01,0.5,0.6,0.6,1.09857934028629
150,5,1,0.01,0.5,0.6,0.6,1.09733685958722
50,7,1,0.01,0.5,0.6,0.6,1.0980969497592
100,7,1,0.01,0.5,0.6,0.6,1.09861977993752
150,7,1,0.01,0.5,0.6,0.6,1.09859315635413
50,9,1,0.01,0.5,0.6,0.6,1.09864389774169
100,9,1,0.01,0.5,0.6,0.6,1.09842639030555
150,9,1,0.01,0.5,0.6,0.6,1.09881012297877
50,3,5,0.01,0.5,0.6,0.6,1.09830374320658
100,3,5,0.01,0.5,0.6,0.6,1.09840167981761
150,3,5,0.01,0.5,0.6,0.6,1.09818321435401
50,5,5,0.01,0.5,0.6,0.6,1.09879669556963
100,5,5,0.01,0.5,0.6,0.6,1.09827029717211
150,5,5,0.01,0.5,0.6,0.6,1.09869712861396
50,7,5,0.01,0.5,0.6,0.6,1.09824030006382
100,7,5,0.01,0.5,0.6,0.6,1.09824902304449
150,7,5,0.01,0.5,0.6,0.6,1.09881034645986
50,9,5,0.01,0.5,0.6,0.6,1.0989233722531
100,9,5,0.01,0.5,0.6,0.6,1.09854946388855
150,9,5,0.01,0.5,0.6,0.6,1.09812998916209
50,3,1,0.05,0.5,0.6,0.6,1.09927029094848
100,3,1,0.05,0.5,0.6,0.6,1.0996423942437
150,3,1,0.05,0.5,0.6,0.6,1.09890756244332
50,5,1,0.05,0.5,0.6,0.6,1.09906821771169
100,5,1,0.05,0.5,0.6,0.6,1.09772885753428
150,5,1,0.05,0.5,0.6,0.6,1.09845921269977
50,7,1,0.05,0.5,0.6,0.6,1.09953404954874
100,7,1,0.05,0.5,0.6,0.6,1.09991405420108
150,7,1,0.05,0.5,0.6,0.6,1.09784991006741
50,9,1,0.05,0.5,0.6,0.6,1.09835740425973
100,9,1,0.05,0.5,0.6,0.6,1.09902697248952
150,9,1,0.05,0.5,0.6,0.6,1.09818661304162
50,3,5,0.05,0.5,0.6,0.6,1.09954129042086
100,3,5,0.05,0.5,0.6,0.6,1.09727084357694
150,3,5,0.05,0.5,0.6,0.6,1.09685421593429
50,5,5,0.05,0.5,0.6,0.6,1.09835424248841
100,5,5,0.05,0.5,0.6,0.6,1.09808790996562
150,5,5,0.05,0.5,0.6,0.6,1.09960099531767
50,7,5,0.05,0.5,0.6,0.6,1.09670144412459
100,7,5,0.05,0.5,0.6,0.6,1.10024485572721
150,7,5,0.05,0.5,0.6,0.6,1.09754438545045
50,9,5,0.05,0.5,0.6,0.6,1.09973935360053
100,9,5,0.05,0.5,0.6,0.6,1.09933727990979
150,9,5,0.05,0.5,0.6,0.6,1.10051103865935
50,3,1,0.1,0.5,0.6,0.6,1.09858282500152
100,3,1,0.1,0.5,0.6,0.6,1.09979916615234
150,3,1,0.1,0.5,0.6,0.6,1.09685570889409
50,5,1,0.1,0.5,0.6,0.6,1.10113706936214
100,5,1,0.1,0.5,0.6,0.6,1.10101848417588
150,5,1,0.1,0.5,0.6,0.6,1.10125414573315
50,7,1,0.1,0.5,0.6,0.6,1.10118713908774
100,7,1,0.1,0.5,0.6,0.6,1.0968264868246
150,7,1,0.1,0.5,0.6,0.6,1.09847477924203
50,9,1,0.1,0.5,0.6,0.6,1.10311652069697
100,9,1,0.1,0.5,0.6,0.6,1.10259508065149
150,9,1,0.1,0.5,0.6,0.6,1.10195196151625
50,3,5,0.1,0.5,0.6,0.6,1.0951390400601
100,3,5,0.1,0.5,0.6,0.6,1.10217450391044
150,3,5,0.1,0.5,0.6,0.6,1.10113945487908
50,5,5,0.1,0.5,0.6,0.6,1.09594970043525
100,5,5,0.1,0.5,0.6,0.6,1.10013028895183
150,5,5,0.1,0.5,0.6,0.6,1.09796235085956
50,7,5,0.1,0.5,0.6,0.6,1.10111195963424
100,7,5,0.1,0.5,0.6,0.6,1.09714985468051
150,7,5,0.1,0.5,0.6,0.6,1.09634179735557
50,9,5,0.1,0.5,0.6,0.6,1.09846239385523
100,9,5,0.1,0.5,0.6,0.6,1.10335263444929
150,9,5,0.1,0.5,0.6,0.6,1.10291316045371
50,3,1,0.01,2,0.6,0.6,1.09827699140696
100,3,1,0.01,2,0.6,0.6,1.09675826855662
150,3,1,0.01,2,0.6,0.6,1.09870908328015
50,5,1,0.01,2,0.6,0.6,1.09847597199632
100,5,1,0.01,2,0.6,0.6,1.09815233762056
150,5,1,0.01,2,0.6,0.6,1.09808819314448
50,7,1,0.01,2,0.6,0.6,1.09824847366429
100,7,1,0.01,2,0.6,0.6,1.0982454575514
150,7,1,0.01,2,0.6,0.6,1.09790404567379
50,9,1,0.01,2,0.6,0.6,1.09830298477392
100,9,1,0.01,2,0.6,0.6,1.09881374886576
150,9,1,0.01,2,0.6,0.6,1.0982083210035
50,3,5,0.01,2,0.6,0.6,1.09798771854541
100,3,5,0.01,2,0.6,0.6,1.0988296793831
150,3,5,0.01,2,0.6,0.6,1.09849559276697
50,5,5,0.01,2,0.6,0.6,1.09832091062579
100,5,5,0.01,2,0.6,0.6,1.09830027353102
150,5,5,0.01,2,0.6,0.6,1.0979418094821
50,7,5,0.01,2,0.6,0.6,1.09759674975862
100,7,5,0.01,2,0.6,0.6,1.0966247413839
150,7,5,0.01,2,0.6,0.6,1.097804375861
50,9,5,0.01,2,0.6,0.6,1.09847308691652
100,9,5,0.01,2,0.6,0.6,1.09856247218498
150,9,5,0.01,2,0.6,0.6,1.09859286619449
50,3,1,0.05,2,0.6,0.6,1.10139774987609
100,3,1,0.05,2,0.6,0.6,1.10084814310176
150,3,1,0.05,2,0.6,0.6,1.09960647483452
50,5,1,0.05,2,0.6,0.6,1.09849176432872
100,5,1,0.05,2,0.6,0.6,1.09799640117499
150,5,1,0.05,2,0.6,0.6,1.10033365312281
50,7,1,0.05,2,0.6,0.6,1.10053491436217
100,7,1,0.05,2,0.6,0.6,1.09779848507339
150,7,1,0.05,2,0.6,0.6,1.09808110000457
50,9,1,0.05,2,0.6,0.6,1.09898287410808
100,9,1,0.05,2,0.6,0.6,1.09880511189038
150,9,1,0.05,2,0.6,0.6,1.09985945557122
50,3,5,0.05,2,0.6,0.6,1.09974963801514
100,3,5,0.05,2,0.6,0.6,1.09810685302227
150,3,5,0.05,2,0.6,0.6,1.09844082500132
50,5,5,0.05,2,0.6,0.6,1.09733507631847
100,5,5,0.05,2,0.6,0.6,1.09981415602885
150,5,5,0.05,2,0.6,0.6,1.09745638697361
50,7,5,0.05,2,0.6,0.6,1.09829303816883
100,7,5,0.05,2,0.6,0.6,1.09757346720284
150,7,5,0.05,2,0.6,0.6,1.09880080698174
50,9,5,0.05,2,0.6,0.6,1.09971699486523
100,9,5,0.05,2,0.6,0.6,1.09872188669985
150,9,5,0.05,2,0.6,0.6,1.09872783408554
50,3,1,0.1,2,0.6,0.6,1.10332689919592
100,3,1,0.1,2,0.6,0.6,1.09821479624541
150,3,1,0.1,2,0.6,0.6,1.09956987373458
50,5,1,0.1,2,0.6,0.6,1.10134529751659
100,5,1,0.1,2,0.6,0.6,1.10027004163364
150,5,1,0.1,2,0.6,0.6,1.0992934095391
50,7,1,0.1,2,0.6,0.6,1.10112953259211
100,7,1,0.1,2,0.6,0.6,1.09824236110193
150,7,1,0.1,2,0.6,0.6,1.10455755702811
50,9,1,0.1,2,0.6,0.6,1.10200580923296
100,9,1,0.1,2,0.6,0.6,1.10482463297158
150,9,1,0.1,2,0.6,0.6,1.10316176388358
